price,lprice,square,rooms,floor,mfloor,station,metro,ametro,dmetro,link,add,lat,lon,district
29300000,17.193098073987297,85.5,3,7,16,метро Аннино,7 минут пешком,1,7,https://www.cian.ru/sale/flat/312672406/,"Варшавское ш., 141Ак4",55.584512,37.604502,район Чертаново Южное
29900000,17.213369038360916,85.0,3,6,15,метро Улица Академика Янгеля,19 минут пешком,1,19,https://www.cian.ru/sale/flat/313325070/,"Варшавское ш., 141Ак4",55.584512,37.604502,район Чертаново Южное
16499000,16.61881033097358,58.0,2,21,22,метро Аннино,19 минут пешком,1,19,https://www.cian.ru/sale/flat/305858431/,"Старобитцевская ул., 17К3",55.575902,37.581559,район Северное Бутово
20500000,16.835935444108635,56.0,2,14,26,метро Аннино,13 минут пешком,1,13,https://www.cian.ru/sale/flat/311315409/,"Варшавское ш., 170Ек1",55.582543,37.582502,район Чертаново Южное
12500000,16.34123920227253,36.8,1,17,26,метро Лесопарковая,6 минут пешком,1,6,https://www.cian.ru/sale/flat/316667762/,"Варшавское ш., 170Ек1",55.582543,37.582502,район Чертаново Южное
76000000,18.146243898250606,106.6,3,9,12,метро Добрынинская,11 минут пешком,1,11,https://www.cian.ru/sale/flat/310431008/,"Мытная ул., 7с1",55.722142,37.618569,район Замоскворечье
76000000,18.146243898250606,106.6,3,9,16,метро Добрынинская,12 минут пешком,1,12,https://www.cian.ru/sale/flat/310512370/,"Мытная ул., 7с1",55.722142,37.618569,район Замоскворечье
105000000,18.4694709081218,119.3,3,4,14,метро Добрынинская,12 минут пешком,1,12,https://www.cian.ru/sale/flat/314971290/,"Мытная ул., 7с1",55.722142,37.618569,район Замоскворечье
59000000,17.893048001869992,70.6,3,3,14,метро Добрынинская,12 минут пешком,1,12,https://www.cian.ru/sale/flat/314971588/,"Мытная ул., 7с1",55.722142,37.618569,район Замоскворечье
90000000,18.31532022829454,112.6,3,6,17,метро Добрынинская,11 минут пешком,1,11,https://www.cian.ru/sale/flat/304247053/,"Мытная ул., 7с1",55.722142,37.618569,район Замоскворечье
85000000,18.258161814454592,97.5,3,3,17,метро Добрынинская,11 минут пешком,1,11,https://www.cian.ru/sale/flat/303869601/,"Мытная ул., 7с1",55.722142,37.618569,район Замоскворечье
130000000,18.683045008419857,135.0,4,3,14,метро Добрынинская,12 минут пешком,1,12,https://www.cian.ru/sale/flat/311341925/,"Мытная ул., 7с1",55.722142,37.618569,район Замоскворечье
85000000,18.258161814454592,106.5,3,9,16,метро Добрынинская,12 минут пешком,1,12,https://www.cian.ru/sale/flat/315098435/,"Мытная ул., 7с1",55.722142,37.618569,район Замоскворечье
